name,year,make,model,badge,series,build_date,odometer,body_type,fuel,transmission,transmission_type,seats,doors,drive_type,provider,location,city,state,price,price_type,car_type,stock_number,vin,rego,status,colour,link_to_the_car
2009 Toyota Landcruiser GXL UZJ200R,2009,Toyota,Landcruiser,GXL,UZJ200R,2009-09-01,307232,Wagon,Petrol,Automatic,Automatic,8,5,4X4 Constant,Car Mate Warehouse,Car Mate Warehouse - Geelong,Geelong West,VIC,35990,Drive Away,used,C1176,JTMHT09J104033460,1YL8WT,sold,Silver,https://www.peterstevensmotorworld.com.au/vehicle/used-silver-2009-toyota-landcruiser-11308
2016 Toyota Landcruiser GXL VDJ79R 4X4,2016,Toyota,Landcruiser,GXL,VDJ79R,2016-02-01,67917,Cab Chassis,Diesel,Manual,Manual,5,4,4X4 Dual Range,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,92990,Drive Away,used,C1279,JTEBV71J207006797,1ZF7RJ,sold,Silver,https://www.peterstevensmotorworld.com.au/vehicle/used-2016-toyota-landcruiser-c1279-2
2021 Audi A5 45 TFSI S line F5,2021,Audi,A5,45 TFSI S line,F5,2021-07-01,55317,Hatchback,Petrol,Automatic,Automatic,5,5,Four Wheel Drive,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,55990,Drive Away,used,C2464,WAUZZZF5XNA002020,BTD011,sold,Black,https://www.peterstevensmotorworld.com.au/vehicle/used-black-2021-audi-a5-c2464
2015 Mazda CX-3 Akari DK,2015,Mazda,CX-3,Akari,DK,2015-02-01,57091,Wagon,Petrol,Automatic,Automatic,5,5,Front Wheel Drive,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,22990,Drive Away,used,C2251,JM0DK2W7A00102351,AEC567,in_stock,Red,https://www.peterstevensmotorworld.com.au/vehicle/used-red-2015-mazda-cx-3-c2251
2023 Nissan Navara ST D23 4X4,2023,Nissan,Navara,ST,D23,2023-06-01,35,Utility,Diesel,AUTO,Automatic,5,4,4X4 Dual Range,Peter Stevens Motorworld,Peter Stevens Nissan,Ballarat,VIC,54888,Drive Away,demo,2837522,MNTCBND23A0029887,DDG105,in_stock,Grey,https://www.peterstevensmotorworld.com.au/vehicle/new-twilight-grey-2023-nissan-navara-2837522
2016 Toyota Camry Atara S ASV50R,2016,Toyota,Camry,Atara S,ASV50R,2016-04-01,30770,Sedan,Petrol,Automatic,Automatic,5,4,Front Wheel Drive,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,22990,Drive Away,used,C1918,6T1BF3FK10X089179,2AS4OA,in_stock,White,https://www.peterstevensmotorworld.com.au/vehicle/used-white-2016-toyota-camry-c1918
2020 Mazda CX-30 G20 Evolve DM Series,2020,Mazda,CX-30,G20 Evolve,DM Series,2020-01-01,71679,Wagon,Petrol,Automatic,Automatic,5,5,Front Wheel Drive,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,26990,Drive Away,used,C2309,MM0DM2W7A0W106891,2BN2WY,in_stock,Grey,https://www.peterstevensmotorworld.com.au/vehicle/used-grey-2020-mazda-cx-30-c2309
2021 Kia Cerato Sport BD,2021,Kia,Cerato,Sport,BD,2021-02-01,64746,Sedan,Petrol,Automatic,Automatic,5,4,Front Wheel Drive,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,22990,Drive Away,used,C1616,KNAF241CMM5107140,1TP8WD,in_stock,Silver,https://www.peterstevensmotorworld.com.au/vehicle/used-silver-2021-kia-cerato-c1616
2024 Nissan QASHQAI ST-L J12,2024,Nissan,QASHQAI,ST-L,J12,2024-02-01,3000,Wagon,Petrol,Auto,Automatic,5,5,Front Wheel Drive,Peter Stevens Motorworld,Peter Stevens Nissan,Ballarat,VIC,40888,Drive Away,demo,2881078,SJNTAAJ12A1437241,DAR174,sold,Silver,https://www.peterstevensmotorworld.com.au/vehicle/new-platinum-2024-nissan-qashqai-2881078
2015 Volkswagen Tiguan 118TSI 5N,2015,Volkswagen,Tiguan,118TSI,5N,2015-09-01,76054,Wagon,Petrol,Automatic,Automatic,5,5,Front Wheel Drive,Car Mate Warehouse,Car Mate Warehouse - Ballarat,Warrenheip,VIC,16990,Drive Away,used,C2341,WVGZZZ5NZGW016413,016413,in_stock,White,https://www.peterstevensmotorworld.com.au/vehicle/used-white-2015-volkswagen-tiguan-c2341
